ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10280123,HY468417,10/18/2015 10:00:00 PM,015XX S SPAULDING AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,1021,010,24,29,05,1154615,1892270,2015,10/25/2015 03:55:25 PM,41.860207059,-87.707928266,"(41.860207059, -87.707928266)"
10284436,HY472198,10/18/2015 10:00:00 PM,007XX N LEAVITT ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1221,012,1,24,06,,,2015,10/25/2015 03:55:25 PM,,,
10279727,HY467901,10/18/2015 10:00:00 PM,051XX W MELROSE ST,0820,THEFT,$500 AND UNDER,RESIDENCE,false,true,1634,016,30,15,06,1141465,1921121,2015,10/25/2015 03:55:25 PM,41.939630278,-87.755485742,"(41.939630278, -87.755485742)"
10278929,HY467393,10/18/2015 10:00:00 PM,011XX E 73RD ST,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,0324,003,5,69,05,,,2015,10/25/2015 03:55:25 PM,,,
10278951,HY467453,10/18/2015 10:00:00 PM,015XX N LEAMINGTON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,2533,025,37,25,08B,1141759,1909680,2015,10/25/2015 03:55:25 PM,41.908229535,-87.75468894,"(41.908229535, -87.75468894)"
10278953,HY467382,10/18/2015 09:55:00 PM,002XX E HURON ST,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,HOSPITAL BUILDING/GROUNDS,false,false,1834,018,42,8,02,,,2015,10/25/2015 03:55:25 PM,,,
10278829,HY467318,10/18/2015 09:45:00 PM,049XX W ST PAUL AVE,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,RESIDENTIAL YARD (FRONT/BACK),false,true,2533,025,37,25,04B,1143021,1911179,2015,10/25/2015 03:55:25 PM,41.912319499,-87.750015484,"(41.912319499, -87.750015484)"
10278816,HY467331,10/18/2015 09:45:00 PM,053XX S ABERDEEN ST,4625,OTHER OFFENSE,PAROLE VIOLATION,STREET,true,false,0934,009,16,61,26,1169891,1869359,2015,10/25/2015 03:55:25 PM,41.797018031,-87.652520646,"(41.797018031, -87.652520646)"
10278830,HY467314,10/18/2015 09:42:00 PM,0000X E 57TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,true,true,0225,002,20,40,08B,1177358,1867234,2015,10/25/2015 03:55:25 PM,41.79102128,-87.625202624,"(41.79102128, -87.625202624)"
10278780,HY467300,10/18/2015 09:40:00 PM,032XX W POLK ST,2027,NARCOTICS,POSS: CRACK,SIDEWALK,true,false,1134,011,24,27,18,1154933,1896189,2015,10/25/2015 03:55:25 PM,41.870954857,-87.706655951,"(41.870954857, -87.706655951)"
10278822,HY467326,10/18/2015 09:39:00 PM,071XX S SANGAMON ST,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,false,false,0733,007,17,68,26,1171208,1857542,2015,10/25/2015 03:55:25 PM,41.764562081,-87.648036418,"(41.764562081, -87.648036418)"
10278842,HY467353,10/18/2015 09:30:00 PM,038XX W SCHOOL ST,0890,THEFT,FROM BUILDING,RESIDENCE,false,false,1732,017,30,21,06,1150347,1921671,2015,10/25/2015 03:55:25 PM,41.94097059,-87.722827078,"(41.94097059, -87.722827078)"
10278863,HY467325,10/18/2015 09:30:00 PM,049XX W ADAMS ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1533,015,28,25,08B,1143647,1898881,2015,10/25/2015 03:55:25 PM,41.878560668,-87.748023918,"(41.878560668, -87.748023918)"
10278790,HY467308,10/18/2015 09:30:00 PM,029XX N LUNA AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,false,false,2514,025,31,19,14,1138861,1919019,2015,10/25/2015 03:55:25 PM,41.933909941,-87.765107555,"(41.933909941, -87.765107555)"
10282125,HY469116,10/18/2015 09:30:00 PM,064XX S YALE AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,false,false,0722,007,20,68,26,,,2015,10/25/2015 03:55:25 PM,,,
